#Word Types: 1117
#Word Tokens: 56329
#Search Hits: 0
1	9044	а
2	6437	е
3	4057	в
4	2896	ь
5	2843	у
6	2803	я
7	1529	ы
8	1382	д
9	1221	э
10	1188	г
11	1172	ч
12	848	б
13	766	х
14	747	бы
15	680	че
16	638	з
17	556	да
18	553	де
19	518	-
20	413	ве
21	408	ва
22	394	ш
23	369	же
24	359	за
25	354	ж
26	336	ю
27	306	ав
28	278	ая
29	263	аю
30	255	вы
31	237	ые
32	213	бще
33	213	ег
34	212	гда
35	204	ча
36	186	ад
37	166	ех
38	166	ё
39	163	ед
40	155	аз
41	154	ду
42	154	ее
43	145	уч
44	144	ф
45	140	аб
46	132	уже
47	130	аш
48	127	зб
49	124	аза
50	124	уг
51	123	ае
52	118	ебе
53	118	ц
54	109	ше
55	108	ебя
56	105	аша
57	102	бабуш
58	102	ещё
59	101	це
60	99	еще
61	95	юб
62	92	бе
63	91	ую
64	91	ых
65	89	еч
66	85	гу
67	85	уде
68	81	ач
69	79	ьше
70	76	дава
71	75	ах
72	71	аве
73	71	еш
74	70	е-
75	69	еха
76	69	шь
77	67	бу
78	66	аешь
79	65	уж
80	63	га
81	63	уда
82	61	ача
83	61	буде
84	59	будь
85	59	ящ
86	58	даже
87	58	ев
88	58	эээ
89	57	аж
90	57	ба
91	57	жа
92	56	чег
93	53	ге
94	53	ез
95	51	ьш
96	50	аже
97	50	гузе
98	49	яе
99	47	ье
100	46	езд
101	46	ец
102	46	юд
103	45	две
104	45	еде
105	45	уб
106	45	ца
107	42	егда
108	41	выб
109	40	где
110	39	адца
111	39	аше
112	39	угу
113	39	фе
114	39	ша
115	39	ьга
116	39	ья
117	38	жу
118	38	уд
119	37	девя
120	36	два
121	35	вых
122	34	ву
123	34	дя
124	34	уча
125	33	азыва
126	33	яв
127	32	вае
128	32	ваю
129	31	ды
130	31	ха
131	30	аг
132	30	зав
133	30	щ
134	30	ыва
135	30	ээ
136	29	ац
137	29	её
138	29	зде
139	29	учае
140	28	ава
141	28	фа
142	28	чё
143	27	азывае
144	27	вые
145	27	зе
146	27	ью
147	26	ага
148	26	буду
149	26	двадца
150	26	ув
151	26	чу
152	25	аа
153	25	зв
154	25	юде
155	25	яю
156	24	без
157	24	вече
158	24	вьюе
159	24	еа
160	24	еб
161	23	ажды
162	23	взя
163	23	где-
164	23	дев
165	23	уша
166	22	еве
167	22	уе
168	22	ьг
169	22	ьде
